epoch,metric,value
1781221020.940,temperature_c,18.13
1781221020.940,humidity_pct,90.95
1781221020.940,co2_ppm,825.5
1781221020.940,vpd_kpa,0.1882
1781221020.940,temperature_c,18.22
1781221020.940,humidity_pct,91.27
1781221020.940,co2_ppm,728.0
1781221020.940,vpd_kpa,0.1827
1781221027.196,dew_point_c,16.73
1781221027.196,fruiting_score,91.8
1781221038.402,temperature_c,18.04
1781221038.402,humidity_pct,92.31
1781221038.402,co2_ppm,845.9
1781221038.402,vpd_kpa,0.1591
1781221038.402,temperature_c,17.82
1781221038.402,humidity_pct,92.42
1781221038.402,co2_ppm,740.9
1781221038.402,vpd_kpa,0.1547
1781221044.645,dew_point_c,16.63
1781221044.645,fruiting_score,92.0
1781221055.840,temperature_c,18.07
1781221055.840,humidity_pct,92.55
1781221055.840,co2_ppm,859.0
1781221055.840,vpd_kpa,0.1544
1781221055.840,temperature_c,17.62
1781221055.840,humidity_pct,91.32
1781221055.840,co2_ppm,748.7
1781221055.840,vpd_kpa,0.1749
1781221062.099,dew_point_c,16.77
1781221062.099,fruiting_score,90.2
1781221073.311,temperature_c,18.15
1781221073.311,humidity_pct,92.14
1781221073.311,co2_ppm,865.2
1781221073.311,vpd_kpa,0.1637
1781221073.311,temperature_c,17.86
1781221073.311,humidity_pct,90.88
1781221073.311,co2_ppm,762.8
1781221073.311,vpd_kpa,0.1865
1781221079.564,dew_point_c,16.84
1781221079.564,fruiting_score,89.6
1781221090.758,temperature_c,18.02
1781221090.758,humidity_pct,92.83
1781221090.758,co2_ppm,887.0
1781221090.758,vpd_kpa,0.1483
1781221090.758,temperature_c,18.05
1781221090.758,humidity_pct,93.03
1781221090.758,co2_ppm,783.4
1781221090.758,vpd_kpa,0.1444
1781221097.013,dew_point_c,16.85
1781221097.013,fruiting_score,89.7
1781221108.213,temperature_c,17.9
1781221108.213,humidity_pct,92.22
1781221108.213,co2_ppm,909.9
1781221108.214,vpd_kpa,0.1596
1781221108.214,temperature_c,17.76
1781221108.214,humidity_pct,92.26
1781221108.214,co2_ppm,804.3
1781221108.214,vpd_kpa,0.1573
1781221114.459,dew_point_c,16.84
1781221114.459,fruiting_score,88.3
1781221125.654,temperature_c,17.71
1781221125.654,humidity_pct,91.73
1781221125.654,co2_ppm,917.5
1781221125.654,vpd_kpa,0.1675
1781221125.654,temperature_c,17.91
1781221125.654,humidity_pct,91.87
1781221125.654,co2_ppm,818.9
1781221125.654,vpd_kpa,0.1669
1781221131.968,dew_point_c,16.62
1781221131.968,fruiting_score,87.5
1781221143.233,temperature_c,17.88
1781221143.233,humidity_pct,90.41
1781221143.233,co2_ppm,929.5
1781221143.233,vpd_kpa,0.1964
1781221143.233,temperature_c,18.1
1781221143.233,humidity_pct,92.52
1781221143.233,co2_ppm,835.6
1781221143.233,vpd_kpa,0.1553
1781221149.971,dew_point_c,16.35
1781221149.971,fruiting_score,86.9
1781221161.175,temperature_c,18.05
1781221161.175,humidity_pct,91.39
1781221161.175,co2_ppm,942.5
1781221161.175,vpd_kpa,0.1782
1781221161.175,temperature_c,17.85
1781221161.175,humidity_pct,92.0
1781221161.175,co2_ppm,607.2
1781221161.175,vpd_kpa,0.1635
1781221167.432,dew_point_c,16.29
1781221167.432,fruiting_score,88.0
1781221178.645,temperature_c,18.1
1781221178.645,humidity_pct,92.27
1781221178.645,co2_ppm,961.4
1781221178.645,vpd_kpa,0.1606
1781221178.645,temperature_c,18.09
1781221178.645,humidity_pct,92.51
1781221178.645,co2_ppm,632.1
1781221178.645,vpd_kpa,0.1555
1781221184.898,dew_point_c,16.63
1781221184.898,fruiting_score,87.3
1781221196.112,temperature_c,18.03
1781221196.112,humidity_pct,92.58
1781221196.112,co2_ppm,591.6
1781221196.112,vpd_kpa,0.1535
1781221196.112,temperature_c,17.83
1781221196.112,humidity_pct,92.18
1781221196.112,co2_ppm,637.8
1781221196.112,vpd_kpa,0.1596
1781221202.381,dew_point_c,16.83
1781221202.381,fruiting_score,86.0
1781221217.240,temperature_c,18.32
1781221217.240,humidity_pct,91.61
1781221217.240,co2_ppm,616.4
1781221217.240,vpd_kpa,0.1767
1781221217.240,temperature_c,17.83
1781221217.240,humidity_pct,91.91
1781221217.240,co2_ppm,644.0
1781221217.240,vpd_kpa,0.1652
1781221223.507,dew_point_c,16.81
1781221223.507,fruiting_score,91.8
1781221234.706,temperature_c,18.04
1781221234.706,humidity_pct,91.73
1781221234.706,co2_ppm,625.7
1781221234.706,vpd_kpa,0.1712
1781221234.706,temperature_c,17.88
1781221234.706,humidity_pct,91.83
1781221234.706,co2_ppm,662.3
1781221234.706,vpd_kpa,0.1674
1781221241.025,dew_point_c,16.93
1781221241.025,fruiting_score,92.6
1781221252.297,temperature_c,18.13
1781221252.297,humidity_pct,91.88
1781221252.297,co2_ppm,636.1
1781221252.297,vpd_kpa,0.1691
1781221252.297,temperature_c,17.76
1781221252.297,humidity_pct,91.35
1781221252.297,co2_ppm,680.1
1781221252.297,vpd_kpa,0.1758
1781221258.533,dew_point_c,16.67
1781221258.533,fruiting_score,92.4
1781221269.731,temperature_c,17.83
1781221269.731,humidity_pct,92.04
1781221269.731,co2_ppm,648.1
1781221269.731,vpd_kpa,0.1625
1781221269.731,temperature_c,17.94
1781221269.731,humidity_pct,92.29
1781221269.731,co2_ppm,685.7
1781221269.731,vpd_kpa,0.1586
1781221275.976,dew_point_c,16.79
1781221275.976,fruiting_score,92.3
1781221287.170,temperature_c,18.21
1781221287.170,humidity_pct,91.49
1781221287.170,co2_ppm,661.7
1781221287.170,vpd_kpa,0.1779
1781221287.170,temperature_c,17.83
1781221287.170,humidity_pct,91.34
1781221287.170,co2_ppm,705.7
1781221287.170,vpd_kpa,0.1767
1781221293.856,dew_point_c,16.52
1781221293.856,fruiting_score,91.5
1781221305.066,temperature_c,18.15
1781221305.066,humidity_pct,92.49
1781221305.066,co2_ppm,669.7
1781221305.066,vpd_kpa,0.1564
1781221305.066,temperature_c,18.15
1781221305.066,humidity_pct,91.62
1781221305.066,co2_ppm,728.1
1781221305.066,vpd_kpa,0.1747
1781221311.294,dew_point_c,16.8
1781221311.294,fruiting_score,92.6
1781221322.496,temperature_c,17.84
1781221322.496,humidity_pct,90.55
1781221322.496,co2_ppm,621.4
1781221322.496,vpd_kpa,0.1931
1781221322.496,temperature_c,18.18
1781221322.496,humidity_pct,91.35
1781221322.496,co2_ppm,747.6
1781221322.496,vpd_kpa,0.1806
1781221328.763,dew_point_c,16.91
1781221328.763,fruiting_score,91.9
1781221339.962,temperature_c,17.89
1781221339.962,humidity_pct,91.52
1781221339.962,co2_ppm,642.0
1781221339.962,vpd_kpa,0.1739
1781221339.962,temperature_c,18.21
1781221339.962,humidity_pct,91.26
1781221339.962,co2_ppm,756.5
1781221339.962,vpd_kpa,0.1828
1781221346.202,dew_point_c,16.27
1781221346.202,fruiting_score,92.6
1781221357.409,temperature_c,17.9
1781221357.409,humidity_pct,90.88
1781221357.409,co2_ppm,671.8
1781221357.409,vpd_kpa,0.1871
1781221357.409,temperature_c,17.81
1781221357.409,humidity_pct,92.09
1781221357.409,co2_ppm,763.5
1781221357.409,vpd_kpa,0.1613
1781221363.669,dew_point_c,16.49
1781221363.669,fruiting_score,92.1
1781221374.877,temperature_c,18.0
1781221374.877,humidity_pct,92.64
1781221374.877,co2_ppm,694.3
1781221374.877,vpd_kpa,0.1519
1781221374.877,temperature_c,17.82
1781221374.877,humidity_pct,92.24
1781221374.877,co2_ppm,784.3
1781221374.877,vpd_kpa,0.1584
1781221381.134,dew_point_c,16.39
1781221381.134,fruiting_score,92.6
1781221392.337,temperature_c,18.14
1781221392.337,humidity_pct,91.13
1781221392.337,co2_ppm,710.0
1781221392.337,vpd_kpa,0.1847
1781221392.337,temperature_c,18.09
1781221392.337,humidity_pct,92.52
1781221392.337,co2_ppm,791.9
1781221392.337,vpd_kpa,0.1553
1781221398.596,dew_point_c,16.79
1781221398.596,fruiting_score,91.7
1781221409.802,temperature_c,18.13
1781221409.802,humidity_pct,91.52
1781221409.802,co2_ppm,718.2
1781221409.802,vpd_kpa,0.1764
1781221409.802,temperature_c,18.0
1781221409.802,humidity_pct,92.23
1781221409.802,co2_ppm,808.2
1781221409.802,vpd_kpa,0.1604
1781221416.027,dew_point_c,16.67
1781221416.027,fruiting_score,92.8
1781221427.227,temperature_c,17.97
1781221427.227,humidity_pct,91.67
1781221427.227,co2_ppm,741.5
1781221427.227,vpd_kpa,0.1716
1781221427.227,temperature_c,18.11
1781221427.227,humidity_pct,91.91
1781221427.227,co2_ppm,614.2
1781221427.227,vpd_kpa,0.168
1781221433.540,dew_point_c,16.73
1781221433.540,fruiting_score,92.5
1781221444.744,temperature_c,18.07
1781221444.744,humidity_pct,92.31
1781221444.744,co2_ppm,761.9
1781221444.744,vpd_kpa,0.1594
1781221444.744,temperature_c,18.23
1781221444.744,humidity_pct,91.7
1781221444.744,co2_ppm,620.4
1781221444.744,vpd_kpa,0.1738
1781221451.001,dew_point_c,16.59
1781221451.001,fruiting_score,92.3
1781221462.211,temperature_c,18.09
1781221462.211,humidity_pct,92.67
1781221462.211,co2_ppm,772.6
1781221462.211,vpd_kpa,0.1522
1781221462.211,temperature_c,17.69
1781221462.211,humidity_pct,91.19
1781221462.211,co2_ppm,631.3
1781221462.211,vpd_kpa,0.1783
1781221468.446,dew_point_c,16.8
1781221468.446,fruiting_score,92.0
1781221479.648,temperature_c,17.76
1781221479.648,humidity_pct,91.66
1781221479.648,co2_ppm,780.2
1781221479.648,vpd_kpa,0.1695
1781221479.648,temperature_c,18.16
1781221479.648,humidity_pct,92.88
1781221479.648,co2_ppm,643.0
1781221479.648,vpd_kpa,0.1484
1781221485.904,dew_point_c,16.88
1781221485.904,fruiting_score,91.7
1781221497.108,temperature_c,17.92
1781221497.108,humidity_pct,91.58
1781221497.108,co2_ppm,726.7
1781221497.108,vpd_kpa,0.1729
1781221497.108,temperature_c,17.91
1781221497.108,humidity_pct,92.02
1781221497.108,co2_ppm,652.7
1781221497.108,vpd_kpa,0.1638
1781221503.351,dew_point_c,16.38
1781221503.351,fruiting_score,91.5
1781221514.554,temperature_c,18.24
1781221514.554,humidity_pct,91.64
1781221514.554,co2_ppm,732.3
1781221514.554,vpd_kpa,0.1752
1781221514.554,temperature_c,18.13
1781221514.554,humidity_pct,91.98
1781221514.554,co2_ppm,664.4
1781221514.554,vpd_kpa,0.1669
1781221520.842,dew_point_c,16.53
1781221520.842,fruiting_score,92.2
1781221532.050,temperature_c,18.16
1781221532.050,humidity_pct,91.6
1781221532.050,co2_ppm,751.6
1781221532.050,vpd_kpa,0.175
1781221532.051,temperature_c,18.13
1781221532.051,humidity_pct,90.95
1781221532.051,co2_ppm,685.6
1781221532.051,vpd_kpa,0.1882
1781221538.307,dew_point_c,16.86
1781221538.307,fruiting_score,92.5
1781221549.513,temperature_c,18.17
1781221549.513,humidity_pct,91.8
1781221549.513,co2_ppm,775.3
1781221549.513,vpd_kpa,0.1711
1781221549.513,temperature_c,18.0
1781221549.513,humidity_pct,91.7
1781221549.513,co2_ppm,699.9
1781221549.513,vpd_kpa,0.1712
1781221555.757,dew_point_c,16.77
1781221555.757,fruiting_score,92.5
1781221566.961,temperature_c,17.89
1781221566.961,humidity_pct,92.46
1781221566.961,co2_ppm,789.0
1781221566.962,vpd_kpa,0.1545
1781221566.962,temperature_c,17.86
1781221566.962,humidity_pct,92.24
1781221566.962,co2_ppm,707.7
1781221566.962,vpd_kpa,0.1588
1781221573.208,dew_point_c,16.81
1781221573.208,fruiting_score,92.4
1781221584.417,temperature_c,17.92
1781221584.417,humidity_pct,91.13
1781221584.417,co2_ppm,806.1
1781221584.417,vpd_kpa,0.1822
1781221584.417,temperature_c,18.05
1781221584.417,humidity_pct,91.52
1781221584.417,co2_ppm,729.4
1781221584.417,vpd_kpa,0.1755
1781221590.730,dew_point_c,16.65
1781221590.730,fruiting_score,91.5
1781221601.927,temperature_c,18.19
1781221601.927,humidity_pct,92.28
1781221601.927,co2_ppm,820.1
1781221601.927,vpd_kpa,0.1612
1781221601.927,temperature_c,18.12
1781221601.927,humidity_pct,93.38
1781221601.927,co2_ppm,744.2
1781221601.927,vpd_kpa,0.1376
1781221608.179,dew_point_c,16.45
1781221608.179,fruiting_score,92.2
1781221619.393,temperature_c,17.83
1781221619.393,humidity_pct,93.04
1781221619.393,co2_ppm,832.2
1781221619.393,vpd_kpa,0.1421
1781221619.393,temperature_c,17.98
1781221619.393,humidity_pct,92.03
1781221619.393,co2_ppm,765.9
1781221619.393,vpd_kpa,0.1644
1781221625.629,dew_point_c,16.92
1781221625.629,fruiting_score,91.3
1781221636.840,temperature_c,17.92
1781221636.840,humidity_pct,91.61
1781221636.840,co2_ppm,845.5
1781221636.840,vpd_kpa,0.1723
1781221636.840,temperature_c,18.11
1781221636.840,humidity_pct,91.73
1781221636.840,co2_ppm,774.2
1781221636.840,vpd_kpa,0.172
1781221643.076,dew_point_c,16.69
1781221643.076,fruiting_score,89.6
1781221654.279,temperature_c,17.95
1781221654.279,humidity_pct,91.4
1781221654.279,co2_ppm,857.1
1781221654.279,vpd_kpa,0.1771
1781221654.279,temperature_c,18.3
1781221654.279,humidity_pct,92.41
1781221654.279,co2_ppm,791.4
1781221654.279,vpd_kpa,0.1595
1781221660.523,dew_point_c,16.53
1781221660.523,fruiting_score,90.4
1781221671.745,temperature_c,18.17
1781221671.745,humidity_pct,92.61
1781221671.745,co2_ppm,866.6
1781221671.745,vpd_kpa,0.1541
1781221671.745,temperature_c,18.05
1781221671.745,humidity_pct,93.25
1781221671.745,co2_ppm,811.9
1781221671.745,vpd_kpa,0.1397
1781221678.041,dew_point_c,16.53
1781221678.041,fruiting_score,90.3
1781221689.244,temperature_c,17.99
1781221689.244,humidity_pct,92.45
1781221689.244,co2_ppm,876.0
1781221689.244,vpd_kpa,0.1557
1781221689.244,temperature_c,18.09
1781221689.244,humidity_pct,92.59
1781221689.244,co2_ppm,835.8
1781221689.244,vpd_kpa,0.1537
1781221695.498,dew_point_c,16.95
1781221695.498,fruiting_score,89.3
1781221706.707,temperature_c,17.91
1781221706.707,humidity_pct,91.98
1781221706.707,co2_ppm,891.3
1781221706.707,vpd_kpa,0.1645
1781221706.707,temperature_c,18.03
1781221706.707,humidity_pct,91.65
1781221706.707,co2_ppm,850.6
1781221706.707,vpd_kpa,0.1726
1781221712.759,dew_point_c,16.75
1781221712.759,fruiting_score,89.0
1781221723.774,temperature_c,17.95
1781221723.774,humidity_pct,91.81
1781221723.774,co2_ppm,897.9
1781221723.774,vpd_kpa,0.1686
1781221723.774,temperature_c,18.11
1781221723.774,humidity_pct,91.37
1781221723.774,co2_ppm,868.4
1781221723.774,vpd_kpa,0.1793
1781221729.863,dew_point_c,16.59
1781221729.863,fruiting_score,88.4
1781221740.871,temperature_c,18.29
1781221740.871,humidity_pct,91.71
1781221740.871,co2_ppm,922.3
1781221740.871,vpd_kpa,0.1742
1781221740.871,temperature_c,18.19
1781221740.871,humidity_pct,92.1
1781221740.871,co2_ppm,878.5
1781221740.871,vpd_kpa,0.165
1781221746.935,dew_point_c,16.6
1781221746.935,fruiting_score,88.4
1781221757.947,temperature_c,17.89
1781221757.947,humidity_pct,92.3
1781221757.947,co2_ppm,663.1
1781221757.947,vpd_kpa,0.1579
1781221757.947,temperature_c,17.97
1781221757.947,humidity_pct,91.42
1781221757.947,co2_ppm,888.8
1781221757.947,vpd_kpa,0.1769
1781221764.100,dew_point_c,16.92
1781221764.100,fruiting_score,87.9
1781221775.192,temperature_c,17.96
1781221775.192,humidity_pct,92.61
1781221775.192,co2_ppm,674.6
1781221775.192,vpd_kpa,0.1521
1781221775.192,temperature_c,17.92
1781221775.192,humidity_pct,91.31
1781221775.192,co2_ppm,894.9
1781221775.192,vpd_kpa,0.1784
1781221781.248,dew_point_c,16.62
1781221781.248,fruiting_score,91.6
1781221792.258,temperature_c,17.93
1781221792.258,humidity_pct,90.69
1781221792.258,co2_ppm,686.3
1781221792.258,vpd_kpa,0.1914
1781221792.258,temperature_c,18.15
1781221792.258,humidity_pct,93.15
1781221792.258,co2_ppm,900.3
1781221792.258,vpd_kpa,0.1427
1781221798.319,dew_point_c,16.74
1781221798.319,fruiting_score,91.6
1781221809.332,temperature_c,18.2
1781221809.332,humidity_pct,91.96
1781221809.332,co2_ppm,692.5
1781221809.332,vpd_kpa,0.168
1781221809.332,temperature_c,18.36
1781221809.332,humidity_pct,92.43
1781221809.332,co2_ppm,906.4
1781221809.332,vpd_kpa,0.1598
1781221815.388,dew_point_c,16.39
1781221815.388,fruiting_score,92.8
1781221826.413,temperature_c,18.16
1781221826.413,humidity_pct,91.59
1781221826.413,co2_ppm,700.4
1781221826.413,vpd_kpa,0.1753
1781221826.413,temperature_c,18.21
1781221826.413,humidity_pct,91.56
1781221826.413,co2_ppm,916.7
1781221826.413,vpd_kpa,0.1765
1781221832.462,dew_point_c,16.87
1781221832.462,fruiting_score,92.3
1781221843.486,temperature_c,18.1
1781221843.486,humidity_pct,92.28
1781221843.486,co2_ppm,723.0
1781221843.486,vpd_kpa,0.1603
1781221843.486,temperature_c,18.12
1781221843.486,humidity_pct,91.64
1781221843.486,co2_ppm,933.1
1781221843.486,vpd_kpa,0.1739
1781221849.554,dew_point_c,16.77
1781221849.554,fruiting_score,92.5
1781221860.569,temperature_c,17.82
1781221860.569,humidity_pct,92.12
1781221860.569,co2_ppm,746.8
1781221860.569,vpd_kpa,0.1609
1781221860.569,temperature_c,18.11
1781221860.569,humidity_pct,91.18
1781221860.569,co2_ppm,745.5
1781221860.569,vpd_kpa,0.1833
1781221866.632,dew_point_c,16.83
1781221866.632,fruiting_score,92.0
1781221877.653,temperature_c,18.04
1781221877.653,humidity_pct,92.59
1781221877.653,co2_ppm,754.5
1781221877.653,vpd_kpa,0.1533
1781221877.653,temperature_c,18.08
1781221877.653,humidity_pct,91.77
1781221877.653,co2_ppm,755.4
1781221877.653,vpd_kpa,0.1708
1781221883.703,dew_point_c,16.52
1781221883.703,fruiting_score,91.4
1781221894.716,temperature_c,17.84
1781221894.716,humidity_pct,91.57
1781221894.716,co2_ppm,776.6
1781221894.716,vpd_kpa,0.1723
1781221894.716,temperature_c,17.91
1781221894.716,humidity_pct,91.83
1781221894.716,co2_ppm,774.7
1781221894.716,vpd_kpa,0.1676
1781221900.813,dew_point_c,16.82
1781221900.813,fruiting_score,91.8
1781221911.825,temperature_c,17.98
1781221911.825,humidity_pct,92.23
1781221911.825,co2_ppm,796.8
1781221911.825,vpd_kpa,0.1602
1781221911.825,temperature_c,17.86
1781221911.825,humidity_pct,92.4
1781221911.825,co2_ppm,794.2
1781221911.825,vpd_kpa,0.1554
1781221917.884,dew_point_c,16.45
1781221917.884,fruiting_score,91.9
1781221928.900,temperature_c,17.89
1781221928.900,humidity_pct,91.26
1781221928.900,co2_ppm,817.5
1781221928.900,vpd_kpa,0.1791
1781221928.900,temperature_c,17.81
1781221928.900,humidity_pct,92.4
1781221928.900,co2_ppm,804.8
1781221928.900,vpd_kpa,0.1551
1781221934.947,dew_point_c,16.7
1781221934.947,fruiting_score,91.9
1781221945.958,temperature_c,18.16
1781221945.958,humidity_pct,92.93
1781221945.958,co2_ppm,824.5
1781221945.958,vpd_kpa,0.1474
1781221945.958,temperature_c,17.92
1781221945.958,humidity_pct,92.08
1781221945.958,co2_ppm,815.2
1781221945.958,vpd_kpa,0.1626
1781221952.065,dew_point_c,16.44
1781221952.065,fruiting_score,91.6
1781221963.078,temperature_c,18.01
1781221963.078,humidity_pct,92.38
1781221963.078,co2_ppm,846.7
1781221963.078,vpd_kpa,0.1574
1781221963.078,temperature_c,17.82
1781221963.078,humidity_pct,91.66
1781221963.078,co2_ppm,832.0
1781221963.078,vpd_kpa,0.1702
1781221969.134,dew_point_c,17.0
1781221969.134,fruiting_score,90.7
1781221980.152,temperature_c,18.21
1781221980.152,humidity_pct,92.55
1781221980.152,co2_ppm,870.4
1781221980.152,vpd_kpa,0.1559
1781221980.152,temperature_c,17.84
1781221980.152,humidity_pct,91.34
1781221980.152,co2_ppm,844.4
1781221980.152,vpd_kpa,0.1769
1781221986.195,dew_point_c,16.76
1781221986.195,fruiting_score,90.2
1781221997.279,temperature_c,18.28
1781221997.279,humidity_pct,91.75
1781221997.279,co2_ppm,888.4
1781221997.279,vpd_kpa,0.1734
1781221997.279,temperature_c,17.82
1781221997.279,humidity_pct,92.64
1781221997.279,co2_ppm,855.0
1781221997.279,vpd_kpa,0.1502
1781222003.333,dew_point_c,16.98
1781222003.333,fruiting_score,89.2
1781222014.347,temperature_c,17.95
1781222014.347,humidity_pct,92.62
1781222014.347,co2_ppm,907.5
1781222014.347,vpd_kpa,0.1519
1781222014.347,temperature_c,18.0
1781222014.347,humidity_pct,92.67
1781222014.347,co2_ppm,874.4
1781222014.347,vpd_kpa,0.1512
1781222020.406,dew_point_c,16.91
1781222020.406,fruiting_score,89.1
1781222031.430,temperature_c,18.17
1781222031.430,humidity_pct,90.27
1781222031.430,co2_ppm,593.8
1781222031.430,vpd_kpa,0.2029
1781222031.430,temperature_c,18.04
1781222031.430,humidity_pct,92.3
1781222031.430,co2_ppm,886.1
1781222031.430,vpd_kpa,0.1592
1781222037.485,dew_point_c,16.74
1781222037.485,fruiting_score,87.5
1781222048.503,temperature_c,18.06
1781222048.503,humidity_pct,93.09
1781222048.503,co2_ppm,599.2
1781222048.503,vpd_kpa,0.1432
1781222048.503,temperature_c,17.95
1781222048.503,humidity_pct,90.97
1781222048.503,co2_ppm,895.1
1781222048.503,vpd_kpa,0.1857
1781222054.567,dew_point_c,16.55
1781222054.567,fruiting_score,93.4
1781222065.598,temperature_c,17.94
1781222065.598,humidity_pct,91.44
1781222065.598,co2_ppm,621.7
1781222065.598,vpd_kpa,0.176
1781222065.598,temperature_c,18.02
1781222065.598,humidity_pct,92.07
1781222065.598,co2_ppm,909.8
1781222065.598,vpd_kpa,0.1639
